 #   Polarized Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  7.50E-01  1.81E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.40E-01  1.64E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.30E-01  1.47E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.14E-01  1.24E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.10E-01  1.18E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.00E-01  1.05E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.90E-01  9.35E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.80E-01  8.27E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.70E-01  7.28E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.60E-01  6.38E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.50E-01  5.57E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.40E-01  4.84E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.30E-01  4.18E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.25E-01  3.88E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.20E-01  3.59E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.10E-01  3.07E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.00E-01  2.61E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.90E-01  2.20E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.80E-01  1.85E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.70E-01  1.54E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.60E-01  1.27E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.50E-01  1.05E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.48E-01  1.41E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.40E-01  1.21E-18  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.30E-01  9.82E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.20E-01  7.92E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.10E-01  6.32E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.00E-01  5.00E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.90E-01  3.92E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.88E-01  3.73E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.80E-01  3.04E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.76E-01  2.73E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.70E-01  2.33E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.65E-01  2.03E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.60E-01  1.76E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.55E-01  1.53E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.50E-01  1.32E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.44E-01  1.10E-19  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.35E-01  8.30E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.17E-01  4.56E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.00E-01  2.47E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.85E-01  1.37E-20  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.66E-01  6.00E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.57E-01  4.05E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.33E-01  1.23E-21  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.13E-01  4.03E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  3.00E-01  1.84E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.94E-01  1.26E-22  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.78E-01  4.38E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.63E-01  1.54E-23  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.50E-01  6.05E-24  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.38E-01  2.32E-24  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.27E-01  6.53E-25  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.17E-01  1.06E-25  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.08E-01  1.42E-26  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  2.00E-01  2.08E-27  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.92E-01  2.82E-28  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.85E-01  4.57E-29  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.79E-01  9.07E-30  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.72E-01  1.26E-30  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.67E-01  2.90E-31  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.61E-01  4.60E-32  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.56E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.52E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.47E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.43E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.39E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.35E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.32E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.28E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.25E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.22E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.19E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.16E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.14E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.11E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.08E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.05E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.03E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  1.00E-01  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.75E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.50E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.25E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.08E-02  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
