 #   Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_Dark  emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  7.00E+00  1.24E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.54E-15  1.21E-15  7.65E-15  3.75E-18
  6.90E+00  9.01E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.46E-15  1.17E-15  4.38E-15  3.63E-18
  6.80E+00  7.86E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.39E-15  1.14E-15  3.33E-15  3.52E-18
  6.60E+00  7.42E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.23E-15  1.08E-15  3.11E-15  3.31E-18
  6.40E+00  8.81E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.07E-15  1.02E-15  4.72E-15  3.11E-18
  6.30E+00  1.14E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.95E-15  9.93E-16  7.41E-15  3.01E-18
  6.20E+00  1.39E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.92E-15  9.63E-16  1.00E-14  2.92E-18
  6.10E+00  1.09E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.84E-15  9.31E-16  7.11E-15  2.82E-18
  5.90E+00  6.52E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.68E-15  8.70E-16  2.97E-15  2.64E-18
  5.50E+00  5.41E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.37E-15  7.68E-16  2.28E-15  2.31E-18
  5.30E+00  6.55E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.21E-15  7.29E-16  3.61E-15  2.15E-18
  5.20E+00  8.59E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.13E-15  7.10E-16  5.74E-15  2.08E-18
  5.10E+00  1.06E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.05E-15  6.93E-16  7.87E-15  2.01E-18
  5.00E+00  8.11E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.98E-15  6.77E-16  5.46E-15  1.94E-18
  4.80E+00  4.73E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.82E-15  6.50E-16  2.27E-15  1.80E-18
  4.50E+00  3.70E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.58E-15  6.14E-16  1.50E-15  1.61E-18
  4.00E+00  3.14E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.22E-15  5.57E-16  1.36E-15  1.78E-18
  3.80E+00  3.01E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.08E-15  5.32E-16  1.40E-15  1.84E-18
  3.60E+00  3.02E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.53E-16  5.04E-16  1.57E-15  1.91E-18
  3.40E+00  4.41E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.30E-16  4.74E-16  3.10E-15  1.96E-18
  3.30E+00  9.30E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.71E-16  4.58E-16  8.07E-15  1.99E-18
  3.20E+00  3.92E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.14E-16  4.39E-16  2.76E-15  2.02E-18
  3.15E+00  3.07E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.86E-16  4.30E-16  1.96E-15  2.03E-18
  3.10E+00  2.69E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.58E-16  4.20E-16  1.61E-15  2.04E-18
  3.08E+00  2.60E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.48E-16  4.16E-16  1.53E-15  2.05E-18
  3.05E+00  2.48E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.32E-16  4.11E-16  1.44E-15  2.05E-18
  3.00E+00  2.35E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.05E-16  4.01E-16  1.34E-15  2.07E-18
  2.90E+00  2.16E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.54E-16  3.81E-16  1.23E-15  2.09E-18
  2.80E+00  2.03E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.04E-16  3.61E-16  1.16E-15  2.10E-18
  2.60E+00  1.79E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.09E-16  3.17E-16  1.07E-15  2.25E-18
  2.50E+00  1.68E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.65E-16  2.94E-16  1.02E-15  2.38E-18
  2.20E+00  1.33E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.43E-16  2.22E-16  8.66E-16  2.81E-18
  2.16E+00  1.28E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.28E-16  2.12E-16  8.43E-16  2.87E-18
  2.00E+00  1.09E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.74E-16  1.72E-16  7.48E-16  3.10E-18
  1.66E+00  6.99E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.27E-17  9.40E-17  5.23E-16  3.58E-18
  1.65E+00  6.86E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.01E-17  9.14E-17  5.14E-16  3.59E-18
  1.25E+00  2.80E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.90E-17  2.54E-17  2.35E-16  3.44E-18
  1.23E+00  2.67E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.77E-17  2.38E-17  2.25E-16  3.42E-18
  1.13E+00  1.85E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.00E-17  1.40E-17  1.61E-16  3.31E-18
  1.00E+00  1.04E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.20E-18  6.13E-18  9.39E-17  3.14E-18
  9.50E-01  7.95E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.81E-18  4.16E-18  7.25E-17  3.03E-18
  9.30E-01  7.07E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.36E-18  3.52E-18  6.48E-17  2.99E-18
  9.20E-01  6.65E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.16E-18  3.23E-18  6.11E-17  2.97E-18
  9.10E-01  6.25E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.97E-18  2.95E-18  5.75E-17  2.94E-18
  9.00E-01  5.86E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.79E-18  2.69E-18  5.41E-17  2.92E-18
  8.90E-01  5.48E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.62E-18  2.45E-18  5.07E-17  2.90E-18
  8.80E-01  5.12E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.47E-18  2.23E-18  4.75E-17  2.87E-18
  8.70E-01  4.78E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.33E-18  2.02E-18  4.44E-17  2.85E-18
  8.60E-01  4.45E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.19E-18  1.82E-18  4.15E-17  2.83E-18
  8.50E-01  4.13E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.07E-18  1.64E-18  3.86E-17  2.80E-18
