 #   Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_Dark  emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  7.90E+00  1.74E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.95E-15  1.46E-15  1.40E-14  4.51E-18
  7.80E+00  1.98E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.91E-15  1.15E-15  1.67E-14  4.45E-18
  7.70E+00  2.06E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.86E-15  9.19E-16  1.79E-14  4.40E-18
  7.60E+00  1.91E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.82E-15  7.56E-16  1.65E-14  4.34E-18
  7.50E+00  1.59E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.77E-15  6.15E-16  1.35E-14  4.28E-18
  7.30E+00  1.04E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.68E-15  4.84E-16  8.21E-15  4.10E-18
  7.20E+00  8.84E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.64E-15  4.53E-16  6.75E-15  3.98E-18
  7.10E+00  8.57E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.60E-15  4.26E-16  6.55E-15  3.86E-18
  7.00E+00  1.11E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.56E-15  4.08E-16  9.12E-15  3.75E-18
  6.90E+00  7.10E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.51E-15  3.93E-16  5.19E-15  3.63E-18
  6.80E+00  5.78E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.47E-15  3.81E-16  3.92E-15  3.52E-18
  6.60E+00  5.40E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.39E-15  3.57E-16  3.65E-15  3.31E-18
  6.40E+00  7.23E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.31E-15  3.33E-16  5.59E-15  3.11E-18
  6.30E+00  1.04E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.25E-15  3.21E-16  8.84E-15  3.01E-18
  6.20E+00  1.35E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.23E-15  3.09E-16  1.20E-14  2.92E-18
  6.10E+00  9.97E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.19E-15  2.97E-16  8.48E-15  2.82E-18
  5.90E+00  4.86E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.11E-15  2.73E-16  3.48E-15  2.64E-18
  5.50E+00  3.82E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  9.55E-16  2.35E-16  2.63E-15  2.31E-18
  5.30E+00  5.35E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.80E-16  2.20E-16  4.25E-15  2.15E-18
  5.20E+00  7.89E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.43E-16  2.13E-16  6.84E-15  2.08E-18
  5.10E+00  1.04E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.06E-16  2.07E-16  9.41E-15  2.01E-18
  5.00E+00  7.46E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.70E-16  2.01E-16  6.49E-15  1.94E-18
  4.80E+00  3.50E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.97E-16  1.91E-16  2.62E-15  1.80E-18
  4.50E+00  2.46E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.95E-16  1.77E-16  1.68E-15  1.61E-18
  4.00E+00  2.11E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.40E-16  1.58E-16  1.51E-15  1.78E-18
  3.80E+00  2.09E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.84E-16  1.50E-16  1.56E-15  1.84E-18
  3.60E+00  2.23E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.32E-16  1.42E-16  1.76E-15  1.91E-18
  3.40E+00  4.06E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.84E-16  1.33E-16  3.64E-15  1.96E-18
  3.30E+00  1.01E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.62E-16  1.28E-16  9.73E-15  1.99E-18
  3.20E+00  3.60E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.41E-16  1.23E-16  3.23E-15  2.02E-18
  3.15E+00  2.60E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.30E-16  1.20E-16  2.25E-15  2.03E-18
  3.10E+00  2.17E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.20E-16  1.17E-16  1.83E-15  2.04E-18
  3.08E+00  2.06E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.16E-16  1.16E-16  1.73E-15  2.05E-18
  3.05E+00  1.94E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.10E-16  1.14E-16  1.62E-15  2.05E-18
  3.00E+00  1.81E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.01E-16  1.12E-16  1.50E-15  2.07E-18
  2.90E+00  1.65E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.82E-16  1.06E-16  1.36E-15  2.09E-18
  2.80E+00  1.55E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.65E-16  1.00E-16  1.29E-15  2.10E-18
  2.60E+00  1.40E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.32E-16  8.82E-17  1.18E-15  2.25E-18
  2.50E+00  1.33E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.17E-16  8.18E-17  1.13E-15  2.38E-18
  2.20E+00  1.10E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.75E-17  6.17E-17  9.63E-16  2.81E-18
  2.16E+00  1.07E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.27E-17  5.88E-17  9.38E-16  2.87E-18
  2.00E+00  9.39E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.53E-17  4.79E-17  8.36E-16  3.10E-18
  1.66E+00  6.44E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.61E-17  2.61E-17  5.91E-16  3.58E-18
  1.65E+00  6.33E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  2.53E-17  2.54E-17  5.82E-16  3.59E-18
  1.25E+00  2.85E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.00E-18  7.06E-18  2.72E-16  3.44E-18
  1.23E+00  2.73E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.58E-18  6.60E-18  2.61E-16  3.42E-18
  1.13E+00  1.95E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.17E-18  3.91E-18  1.88E-16  3.31E-18
  1.00E+00  1.13E-16  0.00E+00  0.00E+00  0.00E+00  0.00E+00  1.33E-18  1.70E-18  1.10E-16  3.14E-18
  9.50E-01  8.72E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  8.88E-19  1.16E-18  8.51E-17  3.03E-18
  9.30E-01  7.78E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  7.46E-19  9.79E-19  7.61E-17  2.99E-18
  9.20E-01  7.34E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.81E-19  8.97E-19  7.18E-17  2.97E-18
  9.10E-01  6.91E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  6.21E-19  8.21E-19  6.76E-17  2.94E-18
  9.00E-01  6.49E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.64E-19  7.49E-19  6.36E-17  2.92E-18
  8.90E-01  6.09E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  5.12E-19  6.82E-19  5.97E-17  2.90E-18
  8.80E-01  5.70E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.64E-19  6.19E-19  5.59E-17  2.87E-18
  8.70E-01  5.33E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.19E-19  5.61E-19  5.23E-17  2.85E-18
  8.60E-01  4.97E-17  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.77E-19  5.07E-19  4.88E-17  2.83E-18
